year,fips,date,cases
2020,4015,10,129401
2020,4015,11,156703
2020,4015,12,286360
2020,4017,3,516
2020,4017,4,12054
2020,4017,5,38371
2020,4017,6,81603
2020,4017,7,140664
2020,4017,8,168605
2020,4017,9,171325
2020,4017,10,188286
2020,4017,11,217204
2020,4017,12,305950
2020,4019,3,1021
2020,4019,4,22392
2020,4019,5,54956
2020,4019,6,138281
2020,4019,7,387350
2020,4019,8,594966
2020,4019,9,701862
2020,4019,10,832235
2020,4019,11,1004897
2020,4019,12,1706150
2020,4021,3,457
2020,4021,4,6363
2020,4021,5,20364
2020,4021,6,56985
2020,4021,7,188231
2020,4021,8,273193
2020,4021,9,306499
2020,4021,10,350055
2020,4021,11,422092
2020,4021,12,693364
2020,4023,3,20
2020,4023,4,473
2020,4023,5,3309
2020,4023,6,33481
2020,4023,7,69804
2020,4023,8,83564
2020,4023,9,84030
2020,4023,10,91142
2020,4023,11,101662
2020,4023,12,157129
2020,4025,3,98
2020,4025,4,1908
2020,4025,5,6911
2020,4025,6,13066
2020,4025,7,39512
2020,4025,8,65496
2020,4025,9,73163
2020,4025,10,86006
2020,4025,11,118431
2020,4025,12,267601
2020,4027,3,54
2020,4027,4,834
2020,4027,5,12693
2020,4027,6,106812
2020,4027,7,274209
2020,4027,8,365201
2020,4027,9,374203
2020,4027,10,409647
2020,4027,11,469048
2020,4027,12,717423
2020,5001,3,5
2020,5001,4,53
2020,5001,5,78
2020,5001,6,419
2020,5001,7,3114
2020,5001,8,7502
2020,5001,9,10133
2020,5001,10,18036
2020,5001,11,25407
2020,5001,12,35240
2020,5003,3,3
2020,5003,4,294
2020,5003,5,555
2020,5003,6,1351
2020,5003,7,3954
2020,5003,8,10593
2020,5003,9,12286
2020,5003,10,15369
2020,5003,11,20905
2020,5003,12,33765
2020,5005,3,8
2020,5005,4,128
2020,5005,5,195
2020,5005,6,437
2020,5005,7,1193
2020,5005,8,2851
2020,5005,9,7081
2020,5005,10,16528
2020,5005,11,33048
2020,5005,12,54034
2020,5007,3,211
2020,5007,4,1862
2020,5007,5,6388
2020,5007,6,47719
2020,5007,7,113078
2020,5007,8,152572
2020,5007,9,180551
2020,5007,10,233518
2020,5007,11,310951
2020,5007,12,463420
2020,5009,3,14
2020,5009,4,106
2020,5009,5,146
2020,5009,6,350
2020,5009,7,2216
2020,5009,8,7431
2020,5009,9,16559
2020,5009,10,28741
2020,5009,11,42285
2020,5009,12,69024
2020,5011,3,38
2020,5011,4,191
2020,5011,5,435
2020,5011,6,1038
2020,5011,7,2719
2020,5011,8,6875
2020,5011,9,9728
2020,5011,10,11051
2020,5011,11,12427
2020,5011,12,22763
2020,5013,7,162
2020,5013,8,577
2020,5013,9,897
2020,5013,10,1332
2020,5013,11,3162
2020,5013,12,5817
2020,5015,4,69
2020,5015,5,304
2020,5015,6,2727
2020,5015,7,7888
2020,5015,8,12270
2020,5015,9,17239
2020,5015,10,27774
2020,5015,11,36267
2020,5015,12,55937
2020,5017,3,9
2020,5017,4,178
2020,5017,5,348
2020,5017,6,1835
2020,5017,7,7942
2020,5017,8,25538
2020,5017,9,29539
2020,5017,10,31925
2020,5017,11,33179
2020,5017,12,40929
2020,5019,3,140
2020,5019,4,813
2020,5019,5,1072
2020,5019,6,1416
2020,5019,7,2897
2020,5019,8,5955
2020,5019,9,8801
2020,5019,10,13844
2020,5019,11,20403
2020,5019,12,34563
2020,5021,4,34
2020,5021,5,108
2020,5021,6,764
2020,5021,7,2645
2020,5021,8,4504
2020,5021,9,7331
2020,5021,10,12836
2020,5021,11,20594
2020,5021,12,35593
2020,5023,3,482
2020,5023,4,2081
2020,5023,5,2247
2020,5023,6,2305
2020,5023,7,4425
2020,5023,8,6841
2020,5023,9,8895
2020,5023,10,12800
2020,5023,11,18159
2020,5023,12,29910
2020,5025,3,43
2020,5025,4,234
2020,5025,5,471
2020,5025,6,641
2020,5025,7,1308
2020,5025,8,3464
2020,5025,9,4906
2020,5025,10,6484
2020,5025,11,9252
2020,5025,12,14900
2020,5027,3,11
2020,5027,4,145
2020,5027,5,528
2020,5027,6,1189
2020,5027,7,3914
2020,5027,8,7564
2020,5027,9,11030
2020,5027,10,19742
2020,5027,11,27120
2020,5027,12,41906
2020,5029,3,15
2020,5029,4,183
2020,5029,5,422
2020,5029,6,794
2020,5029,7,3113
2020,5029,8,5221
2020,5029,9,7146
2020,5029,10,9980
2020,5029,11,15306
2020,5029,12,30775
2020,5031,3,49
2020,5031,4,1214
2020,5031,5,4281
2020,5031,6,10714
2020,5031,7,21625
2020,5031,8,46343
2020,5031,9,73692
2020,5031,10,121442
2020,5031,11,181239
2020,5031,12,269504
2020,5033,3,12
2020,5033,4,108
2020,5033,5,327
2020,5033,6,2283
2020,5033,7,10145
2020,5033,8,22566
2020,5033,9,34843
2020,5033,10,56395
2020,5033,11,79405
2020,5033,12,117922
2020,5035,3,112
