,PCIncome,fip-year,fips,POPESTIMATE,MFratio,POPEST_MALE,POPEST_FEM,MEDIAN_AGE_TOT,UNDER5_TOT,AGE513_TOT,AGE1544_TOT,AGE4564_TOT,AGE65PLUS_TOT,RUCC_2013,WA,BA,IA,AA,NA,TOM,NH,H
5250,29600.0,39051-2019,39051,42175,0.985172981878089,20930,21245,41.0,2532,5029,14869,11401,7775,2.0,40806,371,171,207,22,598,38419,3756
5251,30252.0,39051-2020,39051,42619,0.9958321625924884,21265,21354,41.2,2489,5145,14990,11463,7908,2.0,41216,368,184,222,26,603,38740,3879
5252,31805.0,39051-2021,39051,42450,1.000754112268464,21233,21217,41.4,2404,5061,15000,11291,8064,2.0,40950,408,201,230,26,635,38511,3939
5253,24130.0,39053-2019,39053,29850,0.979968161315999,14774,15076,41.4,1805,3473,10462,7983,5746,6.0,28201,678,134,217,74,546,29425,425
5254,25567.0,39053-2020,39053,29193,0.9918804585152838,14537,14656,41.2,1769,3456,10245,7771,5561,6.0,27515,692,134,219,71,562,28781,412
5255,26484.0,39053-2021,39053,29158,0.9877292248960392,14489,14669,41.2,1767,3455,10250,7613,5695,6.0,27459,686,134,217,77,585,28749,409
5256,42958.0,39055-2019,39055,93494,0.9895726932243786,46502,46992,44.9,4915,10498,30020,27047,19636,1.0,90567,1160,126,646,15,980,91956,1538
5257,41874.0,39055-2020,39055,95334,1.0033622628028662,47747,47587,44.9,5024,10785,30566,27499,20046,1.0,92330,1207,143,655,13,986,93726,1608
5258,45199.0,39055-2021,39055,95565,1.0064456528585526,47936,47629,44.8,5069,10690,30892,27033,20522,1.0,92392,1281,155,671,15,1051,93868,1697
5259,35833.0,39057-2019,39057,169354,0.970928473337523,83428,85926,38.4,9374,17438,68148,42686,29675,2.0,145659,12378,578,5322,130,5287,164199,5155
5260,36386.0,39057-2020,39057,168025,0.9874501732846008,83482,84543,38.5,9166,17726,67763,41937,29492,2.0,144303,12280,552,5284,134,5472,162695,5330
5261,38882.0,39057-2021,39057,168412,0.989885861474112,83778,84634,38.6,8848,17918,68314,41127,30239,2.0,144406,12380,550,5297,135,5644,162981,5431
5262,24742.0,39059-2019,39059,38876,0.996507806080526,19404,19472,42.5,2279,4257,13422,10625,7777,6.0,37163,603,137,177,16,780,38429,447
5263,25878.0,39059-2020,39059,38390,1.0080552359033372,19272,19118,42.3,2175,4284,13316,10459,7651,6.0,36648,608,145,177,16,796,37922,468
5264,26716.0,39059-2021,39059,38287,1.0036108639907897,19178,19109,42.3,2144,4275,13363,10252,7756,6.0,36508,632,140,184,15,808,37782,505
5265,35570.0,39061-2019,39061,818653,0.9351302925436356,395605,423048,36.9,52816,94014,330884,202146,128785,1.0,552597,217345,2146,24302,1094,21169,789311,29342
